item,Titre,et,createur,AnneeCreation,image,coord 2
http://www.wikidata.org/entity/Q3076272,fontaine du Fellah,fontaine du Fellah-Jean-François-Théodore Gechter,Jean-François-Théodore Gechter,1806,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Fellah.jpg,"48.8487, 2.3212"
http://www.wikidata.org/entity/Q3076272,fontaine du Fellah,fontaine du Fellah-Pierre-Nicolas Beauvallet,Pierre-Nicolas Beauvallet,1806,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Fellah.jpg,"48.8487, 2.3212"
http://www.wikidata.org/entity/Q3076294,fontaine du jardin Villemin,fontaine du jardin Villemin-Marie Auguste Martin,Marie Auguste Martin,1846,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20jardin%20Villemin%2003.jpg,"48.8751, 2.36163"
http://www.wikidata.org/entity/Q3076266,fontaine du Marché-aux-Carmes,fontaine du Marché-aux-Carmes-Alexandre-Évariste Fragonard,Alexandre-Évariste Fragonard,1830,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20March%C3%A9-aux-Carmes%20abondance%20commerce.jpg,"48.8569, 2.3368"
http://www.wikidata.org/entity/Q3076263,fontaine du Palais de Tokyo,fontaine du Palais de Tokyo-Félix Févola,Félix Févola,,,"48.864, 2.29724"
http://www.wikidata.org/entity/Q3076301,fontaine du puits de Grenelle,fontaine du puits de Grenelle-Firmin Michelet,Firmin Michelet,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Puits%20de%20Grenelle.jpg,"48.8468, 2.30994"
http://www.wikidata.org/entity/Q3076301,fontaine du puits de Grenelle,fontaine du puits de Grenelle-Jean Camille Formigé,Jean Camille Formigé,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Puits%20de%20Grenelle.jpg,"48.8468, 2.30994"
http://www.wikidata.org/entity/Q3076299,fontaine du square Tolstoï,fontaine du square Tolstoï-Charles Georges Cassou,Charles Georges Cassou,,,"48.8531, 2.2608"
http://www.wikidata.org/entity/Q3076289,fontaine du Trocadéro,fontaine du Trocadéro-Daniel-Joseph Bacqué,Daniel-Joseph Bacqué,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Trocad%C3%A9ro.JPG,"48.86122, 2.28987"
http://www.wikidata.org/entity/Q3076289,fontaine du Trocadéro,fontaine du Trocadéro-Roger-Henri Expert,Roger-Henri Expert,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20du%20Trocad%C3%A9ro.JPG,"48.86122, 2.28987"
http://www.wikidata.org/entity/Q3076026,fontaine Gavarni,fontaine Gavarni-Denys Puech,Denys Puech,1904,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Gavarni%2C%20Place%20Saint-Georges%202008.jpg,"48.8784, 2.33754"
http://www.wikidata.org/entity/Q3076303,fontaine l'Amour,fontaine l'Amour-Raoul Lamourdedieu,Raoul Lamourdedieu,,,"48.8483, 2.2577"
http://www.wikidata.org/entity/Q16014280,Fontaine l'Hydrorrhage,Fontaine l'Hydrorrhage-Daniel Badani,Daniel Badani,,,"48.84819, 2.35995"
http://www.wikidata.org/entity/Q16014280,Fontaine l'Hydrorrhage,Fontaine l'Hydrorrhage-Ipoustéguy,Ipoustéguy,,,"48.84819, 2.35995"
http://www.wikidata.org/entity/Q635634,Fontaine-labyrinthe,Fontaine-labyrinthe-Marta Pan,Marta Pan,1987,http://commons.wikimedia.org/wiki/Special:FilePath/Place%20des%20F%C3%AAtes%20%282014%29%2002.jpg,"48.87673611, 2.39388889"
http://www.wikidata.org/entity/Q3076041,fontaine Médicis,fontaine Médicis-Alphonse de Gisors,Alphonse de Gisors,,http://commons.wikimedia.org/wiki/Special:FilePath/Monument%20a%20cot%C3%A9%20du%20palais.jpg,"48.84812, 2.33912"
http://www.wikidata.org/entity/Q3076041,fontaine Médicis,fontaine Médicis-Auguste Ottin,Auguste Ottin,,http://commons.wikimedia.org/wiki/Special:FilePath/Monument%20a%20cot%C3%A9%20du%20palais.jpg,"48.84812, 2.33912"
http://www.wikidata.org/entity/Q3076041,fontaine Médicis,fontaine Médicis-Jean-François-Thérèse Chalgrin,Jean-François-Thérèse Chalgrin,,http://commons.wikimedia.org/wiki/Special:FilePath/Monument%20a%20cot%C3%A9%20du%20palais.jpg,"48.84805556, 2.33916667"
http://www.wikidata.org/entity/Q3076034,"Fontaine Miroir d'eau, la Seine et ses affluents","Fontaine Miroir d'eau, la Seine et ses affluents-François-Raoul Larche",François-Raoul Larche,,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Miroir%20de%20l%27eau%202.jpg,"48.86680556, 2.31166667"
http://www.wikidata.org/entity/Q23313088,Fontaine monumentale,Fontaine monumentale-François Stahly,François Stahly,,,"48.8391, 2.4431"
http://www.wikidata.org/entity/Q2372689,fontaine Octave Gréard,fontaine Octave Gréard-Henri-Paul Nénot,Henri-Paul Nénot,1909,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Paul%20N%C3%A9not%20and%20Jules-Cl%C3%A9ment%20Chaplain%20-%20Octave%20Gr%C3%A9ard.JPG,"48.85, 2.3442"
http://www.wikidata.org/entity/Q2372689,fontaine Octave Gréard,fontaine Octave Gréard-Jules Chaplain,Jules Chaplain,1909,http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Paul%20N%C3%A9not%20and%20Jules-Cl%C3%A9ment%20Chaplain%20-%20Octave%20Gr%C3%A9ard.JPG,"48.85, 2.3442"
http://www.wikidata.org/entity/Q3076051,fontaine Pastorale,fontaine Pastorale-Félix-Alexandre Desruelles,Félix-Alexandre Desruelles,1923,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Pastoral%20Paris.JPG,"48.8538, 2.33408"
http://www.wikidata.org/entity/Q692839,fontaine Saint-Michel,fontaine Saint-Michel-Francisque Duret,Francisque Duret,1860,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20July%202011-24.jpg,"48.85314444, 2.3437"
http://www.wikidata.org/entity/Q1619388,fontaine Saint-Sulpice,fontaine Saint-Sulpice-François Lanno,François Lanno,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Saint-Sulpice%20Paris%202008-03-14.jpg,"48.85083333, 2.33333333"
http://www.wikidata.org/entity/Q1619388,fontaine Saint-Sulpice,fontaine Saint-Sulpice-Jacques-Auguste Fauginet,Jacques-Auguste Fauginet,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Saint-Sulpice%20Paris%202008-03-14.jpg,"48.85083333, 2.33333333"
http://www.wikidata.org/entity/Q1619388,fontaine Saint-Sulpice,fontaine Saint-Sulpice-Louis Desprez,Louis Desprez,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Saint-Sulpice%20Paris%202008-03-14.jpg,"48.85083333, 2.33333333"
http://www.wikidata.org/entity/Q1619388,fontaine Saint-Sulpice,fontaine Saint-Sulpice-Louis Visconti,Louis Visconti,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20Saint-Sulpice%20Paris%202008-03-14.jpg,"48.85083333, 2.33333333"
http://www.wikidata.org/entity/Q3076336,fontaines de la Concorde,fontaines de la Concorde-Jacques Ignace Hittorff,Jacques Ignace Hittorff,,http://commons.wikimedia.org/wiki/Special:FilePath/Fontaine%20des%20Fleuves.jpg,"48.8655, 2.3211"
http://www.wikidata.org/entity/Q23448517,Fontana,Fontana-Baltasar Lobo,Baltasar Lobo,1971,,"48.8185, 2.3415"
